PG.ProteinGroups	PG.ProteinDescriptions	[1] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_1.raw.PG.Quantity	[2] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_2.raw.PG.Quantity	[3] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_3.raw.PG.Quantity	[4] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_4.raw.PG.Quantity	[5] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_5.raw.PG.Quantity	[6] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_6.raw.PG.Quantity	[7] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_7.raw.PG.Quantity	[8] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_8.raw.PG.Quantity	[9] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_9.raw.PG.Quantity	[10] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_28.raw.PG.Quantity	[11] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_29.raw.PG.Quantity	[12] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_30.raw.PG.Quantity	[13] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_31.raw.PG.Quantity	[14] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_32.raw.PG.Quantity	[15] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_33.raw.PG.Quantity	[16] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_34.raw.PG.Quantity	[17] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_35.raw.PG.Quantity	[18] 20221028_MK_E1200_MVL_FAIMS_1CV_15cm_70min_1561_prep005_HRMS1_DIA_500ng_36.raw.PG.Quantity
A0A060ZAM2	Dehydrogenase	496257.625	269412.625	447731.78125	110088.0546875	115775.265625	136039.09375	202806.359375	261712.59375	241012.90625	329016.125	288124.46875	315322.34375	345858.3125	9.25130844116211	Filtered	388118.75	295715.65625	456424.65625
A0A060ZAP0	Cytochrome P450	683383.0625	595561.625	746818.9375	172862.46875	182675.21875	186997.71875	793988.75	812977.9375	874392.75	309615.625	269854.25	343609.75	12558782	447053.65625	393029.46875	829892.1875	1110225.75	749259.875
A0A060ZAQ7	Peptidase S8/S53 subtilisin kexin sedolisin	1405009.75	1345974.625	2267633.75	46753.515625	117461.71875	75977.453125	926958.25	931513.0625	690393.375	1888784.625	1762818.125	2294131.75	3215294.5	70592.4140625	92360.3203125	1876298.375	1068427.25	2303535.75
A0A060ZAR4	Beta-ketoacyl synthase	71828.7734375	34986.98046875	46089.44921875	45981.48828125	26411.056640625	12971.6171875	39801.546875	20554.5546875	28457.962890625	29826.408203125	31725.818359375	34060.5625	Filtered	Filtered	105.9186019897461	103367.6484375	57346.2265625	101869.46875
A0A060ZAS7	Acyl transferase	64239.5390625	60615.76953125	73338.3203125	18130.685546875	17185.62890625	31739.7890625	62105.75	64993.3359375	62688.5859375	22372.60546875	22726.40625	38994.3984375	140235.34375	Filtered	Filtered	129888.953125	108307.2578125	148394.046875
A0A060ZAT3	Beta-ketoacyl synthase	55250.8671875	80753.2109375	94482.5859375	202321.109375	233093.21875	32403.796875	54316.8125	60723.8359375	90944.84375	76943.09375	117222.0625	54254.765625	210026.265625	48890.80859375	Filtered	118898.6484375	68518.7109375	133125.921875
A0A060ZAU4	Transcriptional regulator, LacI family	35357.59765625	12760.21875	11966.9345703125	15265.9501953125	4639.1025390625	328.94482421875	29528.28125	21496.83203125	17275.166015625	5883.525390625	3029.154052734375	14881.3837890625	Filtered	Filtered	Filtered	5473.396484375	6612.36669921875	Filtered
A0A060ZAU6	Activator of Hsp90 ATPase 1 family protein	72801.3359375	58030.60546875	68672.7578125	68045.2578125	73627.4140625	77328.1796875	80958.4140625	100651.734375	81114.984375	54109.37109375	38618.20703125	50639.375	Filtered	72822.0078125	71184.5390625	78735.078125	68953.2421875	43401.33984375
A0A060ZAY3	Cellulase domain-containing protein	37030.8671875	5784.2646484375	50056.6953125	6736.42529296875	673.6434936523438	8556.9912109375	6990.27685546875	15240.796875	14943.1396484375	32450.056640625	19350.580078125	5111.8984375	Filtered	Filtered	Filtered	14122.7890625	16687.736328125	10888.6455078125
A0A060ZAZ9	SH3b domain-containing protein	Filtered	Filtered	Filtered	Filtered	NaN	Filtered	Filtered	NaN	2920.771240234375	Filtered	Filtered	Filtered	Filtered	25162.375	19702.37890625	4982.09619140625	6650.7109375	8767.01171875
